d1.srcip       	d1.dstip       	connection_count
149.171.126.18 	175.45.176.3   	      5027765612
175.45.176.3   	149.171.126.18 	      4222390032
175.45.176.3   	149.171.126.15 	      4005799560
175.45.176.1   	149.171.126.18 	      3913790292
149.171.126.18 	175.45.176.1   	      3383141450
175.45.176.1   	149.171.126.14 	      2665697634
149.171.126.15 	175.45.176.3   	      2284888287
149.171.126.14 	175.45.176.1   	      1867076280
175.45.176.0   	149.171.126.10 	      1439987034
149.171.126.10 	175.45.176.0   	      1337556822
