srcip        	dstip          	sload       	dload 	prev_sload
175.45.176.1 	149.171.126.13 	5.9880003E9 	  0.0 	6.72E8
175.45.176.0 	149.171.126.17 	5.64E9      	  0.0 	3869.4697
175.45.176.2 	149.171.126.11 	5.6E9       	  0.0 	4838.7124
175.45.176.1 	149.171.126.17 	5.4680003E9 	  0.0 	1050.1764
175.45.176.3 	149.171.126.14 	5.344E9     	  0.0 	2.9333331E8
175.45.176.1 	149.171.126.11 	5.28E9      	  0.0 	13496.805
175.45.176.3 	149.171.126.16 	5.2680003E9 	  0.0 	5.2680003E9
175.45.176.3 	149.171.126.16 	5.2680003E9 	  0.0 	5.2680003E9
175.45.176.3 	149.171.126.16 	5.2680003E9 	  0.0 	5.2680003E9
175.45.176.3 	149.171.126.16 	5.2680003E9 	  0.0 	5.2680003E9
